SalesAmount,Sales_Year,Month,PreviousSalesAmount,MoM_Perc,MoM_Diff
"$ 350,756.40",2022,June,"$ 383,676.89",-8.58%,"$ -32,920.49"
"$ 357,963.34",2022,July,"$ 350,756.40",2.05%,"$ 7,206.94"
"$ 379,953.82",2022,August,"$ 357,963.34",6.14%,"$ 21,990.48"
"$ 381,139.67",2022,September,"$ 379,953.82",0.31%,"$ 1,185.85"
"$ 355,548.12",2022,October,"$ 381,139.67",-6.71%,"$ -25,591.55"
"$ 356,427.29",2022,November,"$ 355,548.12",0.25%,$ 879.17
"$ 421,172.39",2022,December,"$ 356,427.29",18.17%,"$ 64,745.10"
"$ 335,507.63",2023,January,"$ 421,172.39",-20.34%,"$ -85,664.76"
"$ 332,546.44",2023,Febuary,"$ 335,507.63",-0.88%,"$ -2,961.19"
"$ 350,102.97",2023,March,"$ 332,546.44",5.28%,"$ 17,556.53"
"$ 328,135.34",2023,April,"$ 350,102.97",-6.27%,"$ -21,967.63"
"$ 365,641.77",2023,May,"$ 328,135.34",11.43%,"$ 37,506.43"
"$ 350,447.16",2023,June,"$ 365,641.77",-4.16%,"$ -15,194.61"
"$ 325,956.05",2023,July,"$ 350,447.16",-6.99%,"$ -24,491.11"
"$ 348,025.91",2023,August,"$ 325,956.05",6.77%,"$ 22,069.86"
"$ 340,204.72",2023,September,"$ 348,025.91",-2.25%,"$ -7,821.19"
"$ 371,177.41",2023,October,"$ 340,204.72",9.1%,"$ 30,972.69"
"$ 344,930.98",2023,November,"$ 371,177.41",-7.07%,"$ -26,246.43"
"$ 402,674.43",2023,December,"$ 344,930.98",16.74%,"$ 57,743.45"
"$ 361,819.84",2024,January,"$ 402,674.43",-10.15%,"$ -40,854.59"
"$ 342,295.74",2024,Febuary,"$ 361,819.84",-5.4%,"$ -19,524.10"
"$ 355,307.56",2024,March,"$ 342,295.74",3.8%,"$ 13,011.82"
"$ 325,643.54",2024,April,"$ 355,307.56",-8.35%,"$ -29,664.02"
"$ 350,869.96",2024,May,"$ 325,643.54",7.75%,"$ 25,226.42"
"$ 349,144.16",2024,June,"$ 350,869.96",-0.49%,"$ -1,725.80"
"$ 323,782.30",2024,July,"$ 349,144.16",-7.26%,"$ -25,361.86"
"$ 374,067.10",2024,August,"$ 323,782.30",15.53%,"$ 50,284.80"
"$ 341,514.00",2024,September,"$ 374,067.10",-8.7%,"$ -32,553.10"
"$ 340,301.34",2024,October,"$ 341,514.00",-0.36%,"$ -1,212.66"
"$ 339,142.75",2024,November,"$ 340,301.34",-0.34%,"$ -1,158.59"
"$ 459,115.51",2024,December,"$ 339,142.75",35.38%,"$ 119,972.76"
"$ 1,284,227.26",2019,January,,,
"$ 1,148,907.84",2019,Febuary,"$ 1,284,227.26",-10.54%,"$ -135,319.42"
"$ 1,301,165.97",2019,March,"$ 1,148,907.84",13.25%,"$ 152,258.13"
"$ 1,279,160.59",2019,April,"$ 1,301,165.97",-1.69%,"$ -22,005.38"
"$ 1,254,917.32",2019,May,"$ 1,279,160.59",-1.9%,"$ -24,243.27"
"$ 1,230,826.80",2019,June,"$ 1,254,917.32",-1.92%,"$ -24,090.52"
"$ 1,264,947.18",2019,July,"$ 1,230,826.80",2.77%,"$ 34,120.38"
"$ 1,364,513.70",2019,August,"$ 1,264,947.18",7.87%,"$ 99,566.52"
"$ 1,250,162.12",2019,September,"$ 1,364,513.70",-8.38%,"$ -114,351.58"
"$ 1,245,782.52",2019,October,"$ 1,250,162.12",-0.35%,"$ -4,379.60"
"$ 1,238,267.24",2019,November,"$ 1,245,782.52",-0.6%,"$ -7,515.28"
"$ 1,750,027.06",2019,December,"$ 1,238,267.24",41.33%,"$ 511,759.82"
"$ 1,499,243.05",2020,January,"$ 1,750,027.06",-14.33%,"$ -250,784.01"
"$ 1,441,073.69",2020,Febuary,"$ 1,499,243.05",-3.88%,"$ -58,169.36"
"$ 1,526,582.39",2020,March,"$ 1,441,073.69",5.93%,"$ 85,508.70"
"$ 1,561,972.47",2020,April,"$ 1,526,582.39",2.32%,"$ 35,390.08"
"$ 1,604,792.74",2020,May,"$ 1,561,972.47",2.74%,"$ 42,820.27"
"$ 1,588,340.35",2020,June,"$ 1,604,792.74",-1.03%,"$ -16,452.39"
"$ 1,635,457.13",2020,July,"$ 1,588,340.35",2.97%,"$ 47,116.78"
"$ 1,607,089.88",2020,August,"$ 1,635,457.13",-1.73%,"$ -28,367.25"
"$ 1,472,078.69",2020,September,"$ 1,607,089.88",-8.4%,"$ -135,011.19"
"$ 1,523,093.13",2020,October,"$ 1,472,078.69",3.47%,"$ 51,014.44"
"$ 1,398,230.73",2020,November,"$ 1,523,093.13",-8.2%,"$ -124,862.40"
"$ 1,813,189.98",2020,December,"$ 1,398,230.73",29.68%,"$ 414,959.25"
"$ 1,203,755.37",2021,January,"$ 1,813,189.98",-33.61%,"$ -609,434.61"
"$ 1,169,078.75",2021,Febuary,"$ 1,203,755.37",-2.88%,"$ -34,676.62"
"$ 1,303,342.00",2021,March,"$ 1,169,078.75",11.48%,"$ 134,263.25"
"$ 1,261,796.43",2021,April,"$ 1,303,342.00",-3.19%,"$ -41,545.57"
"$ 1,264,967.02",2021,May,"$ 1,261,796.43",0.25%,"$ 3,170.59"
"$ 1,263,803.15",2021,June,"$ 1,264,967.02",-0.09%,"$ -1,163.87"
"$ 1,288,523.22",2021,July,"$ 1,263,803.15",1.96%,"$ 24,720.07"
"$ 1,313,624.29",2021,August,"$ 1,288,523.22",1.95%,"$ 25,101.07"
"$ 1,197,366.32",2021,September,"$ 1,313,624.29",-8.85%,"$ -116,257.97"
"$ 1,324,250.76",2021,October,"$ 1,197,366.32",10.6%,"$ 126,884.44"
"$ 1,175,522.77",2021,November,"$ 1,324,250.76",-11.23%,"$ -148,727.99"
"$ 1,712,616.77",2021,December,"$ 1,175,522.77",45.69%,"$ 537,094.00"
"$ 1,420,257.14",2022,January,"$ 1,712,616.77",-17.07%,"$ -292,359.63"
"$ 1,308,610.37",2022,Febuary,"$ 1,420,257.14",-7.86%,"$ -111,646.77"
"$ 1,351,583.45",2022,March,"$ 1,308,610.37",3.28%,"$ 42,973.08"
"$ 1,366,250.67",2022,April,"$ 1,351,583.45",1.09%,"$ 14,667.22"
"$ 1,371,896.09",2022,May,"$ 1,366,250.67",0.41%,"$ 5,645.42"
"$ 1,313,293.37",2022,June,"$ 1,371,896.09",-4.27%,"$ -58,602.72"
"$ 1,289,641.35",2022,July,"$ 1,313,293.37",-1.8%,"$ -23,652.02"
"$ 1,302,872.86",2022,August,"$ 1,289,641.35",1.03%,"$ 13,231.51"
"$ 1,347,777.98",2022,September,"$ 1,302,872.86",3.45%,"$ 44,905.12"
"$ 1,383,750.59",2022,October,"$ 1,347,777.98",2.67%,"$ 35,972.61"
"$ 1,233,372.83",2022,November,"$ 1,383,750.59",-10.87%,"$ -150,377.76"
"$ 1,574,362.15",2022,December,"$ 1,233,372.83",27.65%,"$ 340,989.32"
"$ 1,343,384.92",2023,January,"$ 1,574,362.15",-14.67%,"$ -230,977.23"
"$ 1,113,072.44",2023,Febuary,"$ 1,343,384.92",-17.14%,"$ -230,312.48"
"$ 1,242,521.32",2023,March,"$ 1,113,072.44",11.63%,"$ 129,448.88"
"$ 1,314,517.74",2023,April,"$ 1,242,521.32",5.79%,"$ 71,996.42"
"$ 1,326,454.47",2023,May,"$ 1,314,517.74",0.91%,"$ 11,936.73"
"$ 1,245,485.31",2023,June,"$ 1,326,454.47",-6.1%,"$ -80,969.16"
"$ 1,306,967.88",2023,July,"$ 1,245,485.31",4.94%,"$ 61,482.57"
"$ 1,251,119.14",2023,August,"$ 1,306,967.88",-4.27%,"$ -55,848.74"
"$ 1,267,892.72",2023,September,"$ 1,251,119.14",1.34%,"$ 16,773.58"
"$ 1,307,620.60",2023,October,"$ 1,267,892.72",3.13%,"$ 39,727.88"
"$ 1,256,454.84",2023,November,"$ 1,307,620.60",-3.91%,"$ -51,165.76"
"$ 1,604,737.34",2023,December,"$ 1,256,454.84",27.72%,"$ 348,282.50"
"$ 1,348,049.54",2024,January,"$ 1,604,737.34",-16%,"$ -256,687.80"
"$ 1,224,557.82",2024,Febuary,"$ 1,348,049.54",-9.16%,"$ -123,491.72"
"$ 1,355,163.15",2024,March,"$ 1,224,557.82",10.67%,"$ 130,605.33"
"$ 1,244,184.29",2024,April,"$ 1,355,163.15",-8.19%,"$ -110,978.86"
"$ 1,235,073.43",2024,May,"$ 1,244,184.29",-0.73%,"$ -9,110.86"
"$ 1,279,167.09",2024,June,"$ 1,235,073.43",3.57%,"$ 44,093.66"
"$ 1,223,842.66",2024,July,"$ 1,279,167.09",-4.33%,"$ -55,324.43"
"$ 1,273,791.69",2024,August,"$ 1,223,842.66",4.08%,"$ 49,949.03"
"$ 1,325,759.11",2024,September,"$ 1,273,791.69",4.08%,"$ 51,967.42"
"$ 1,384,702.13",2024,October,"$ 1,325,759.11",4.45%,"$ 58,943.02"
"$ 1,258,610.94",2024,November,"$ 1,384,702.13",-9.11%,"$ -126,091.19"
"$ 1,589,392.27",2024,December,"$ 1,258,610.94",26.28%,"$ 330,781.33"
"$ 1,318,332.55",2019,January,,,
"$ 1,180,306.42",2019,Febuary,"$ 1,318,332.55",-10.47%,"$ -138,026.13"
"$ 1,320,105.34",2019,March,"$ 1,180,306.42",11.84%,"$ 139,798.92"
"$ 1,219,088.66",2019,April,"$ 1,320,105.34",-7.65%,"$ -101,016.68"
"$ 1,276,788.29",2019,May,"$ 1,219,088.66",4.73%,"$ 57,699.63"
"$ 1,227,893.09",2019,June,"$ 1,276,788.29",-3.83%,"$ -48,895.20"
"$ 1,290,552.85",2019,July,"$ 1,227,893.09",5.1%,"$ 62,659.76"
"$ 1,348,914.74",2019,August,"$ 1,290,552.85",4.52%,"$ 58,361.89"
"$ 1,217,764.73",2019,September,"$ 1,348,914.74",-9.72%,"$ -131,150.01"
"$ 1,416,296.60",2019,October,"$ 1,217,764.73",16.3%,"$ 198,531.87"
"$ 1,250,321.32",2019,November,"$ 1,416,296.60",-11.72%,"$ -165,975.28"
"$ 1,724,223.47",2019,December,"$ 1,250,321.32",37.9%,"$ 473,902.15"
"$ 1,479,737.73",2020,January,"$ 1,724,223.47",-14.18%,"$ -244,485.74"
"$ 1,455,230.90",2020,Febuary,"$ 1,479,737.73",-1.66%,"$ -24,506.83"
"$ 1,484,819.06",2020,March,"$ 1,455,230.90",2.03%,"$ 29,588.16"
"$ 1,477,696.13",2020,April,"$ 1,484,819.06",-0.48%,"$ -7,122.93"
"$ 1,545,696.71",2020,May,"$ 1,477,696.13",4.6%,"$ 68,000.58"
"$ 1,459,804.52",2020,June,"$ 1,545,696.71",-5.56%,"$ -85,892.19"
"$ 1,571,060.75",2020,July,"$ 1,459,804.52",7.62%,"$ 111,256.23"
"$ 1,474,276.65",2020,August,"$ 1,571,060.75",-6.16%,"$ -96,784.10"
"$ 1,512,237.33",2020,September,"$ 1,474,276.65",2.57%,"$ 37,960.68"
"$ 1,488,708.34",2020,October,"$ 1,512,237.33",-1.56%,"$ -23,528.99"
"$ 1,477,918.04",2020,November,"$ 1,488,708.34",-0.72%,"$ -10,790.30"
"$ 1,744,393.95",2020,December,"$ 1,477,918.04",18.03%,"$ 266,475.91"
"$ 1,293,800.20",2021,January,"$ 1,744,393.95",-25.83%,"$ -450,593.75"
"$ 1,104,457.40",2021,Febuary,"$ 1,293,800.20",-14.63%,"$ -189,342.80"
"$ 1,284,708.77",2021,March,"$ 1,104,457.40",16.32%,"$ 180,251.37"
"$ 1,288,711.06",2021,April,"$ 1,284,708.77",0.31%,"$ 4,002.29"
"$ 1,236,629.85",2021,May,"$ 1,288,711.06",-4.04%,"$ -52,081.21"
"$ 1,301,935.16",2021,June,"$ 1,236,629.85",5.28%,"$ 65,305.31"
"$ 1,300,450.08",2021,July,"$ 1,301,935.16",-0.11%,"$ -1,485.08"
"$ 1,324,608.72",2021,August,"$ 1,300,450.08",1.86%,"$ 24,158.64"
"$ 1,281,471.05",2021,September,"$ 1,324,608.72",-3.26%,"$ -43,137.67"
"$ 1,310,119.26",2021,October,"$ 1,281,471.05",2.24%,"$ 28,648.21"
"$ 1,227,721.59",2021,November,"$ 1,310,119.26",-6.29%,"$ -82,397.67"
"$ 1,659,167.44",2021,December,"$ 1,227,721.59",35.14%,"$ 431,445.85"
"$ 1,338,323.47",2022,January,"$ 1,659,167.44",-19.34%,"$ -320,843.97"
"$ 1,276,064.59",2022,Febuary,"$ 1,338,323.47",-4.65%,"$ -62,258.88"
"$ 1,363,042.51",2022,March,"$ 1,276,064.59",6.82%,"$ 86,977.92"
"$ 1,333,797.36",2022,April,"$ 1,363,042.51",-2.15%,"$ -29,245.15"
"$ 1,321,922.43",2022,May,"$ 1,333,797.36",-0.89%,"$ -11,874.93"
"$ 1,299,971.45",2022,June,"$ 1,321,922.43",-1.66%,"$ -21,950.98"
"$ 1,443,570.02",2022,July,"$ 1,299,971.45",11.05%,"$ 143,598.57"
"$ 1,384,017.66",2022,August,"$ 1,443,570.02",-4.13%,"$ -59,552.36"
"$ 1,287,406.65",2022,September,"$ 1,384,017.66",-6.98%,"$ -96,611.01"
"$ 1,361,487.16",2022,October,"$ 1,287,406.65",5.75%,"$ 74,080.51"
"$ 1,342,977.70",2022,November,"$ 1,361,487.16",-1.36%,"$ -18,509.46"
"$ 1,535,440.92",2022,December,"$ 1,342,977.70",14.33%,"$ 192,463.22"
"$ 1,276,152.64",2023,January,"$ 1,535,440.92",-16.89%,"$ -259,288.28"
"$ 1,066,472.43",2023,Febuary,"$ 1,276,152.64",-16.43%,"$ -209,680.21"
"$ 1,266,647.52",2023,March,"$ 1,066,472.43",18.77%,"$ 200,175.09"
"$ 1,313,648.11",2023,April,"$ 1,266,647.52",3.71%,"$ 47,000.59"
"$ 1,282,719.98",2023,May,"$ 1,313,648.11",-2.35%,"$ -30,928.13"
"$ 1,264,006.28",2023,June,"$ 1,282,719.98",-1.46%,"$ -18,713.70"
"$ 1,312,344.01",2023,July,"$ 1,264,006.28",3.82%,"$ 48,337.73"
"$ 1,284,732.00",2023,August,"$ 1,312,344.01",-2.1%,"$ -27,612.01"
"$ 1,148,435.05",2023,September,"$ 1,284,732.00",-10.61%,"$ -136,296.95"
"$ 1,298,559.37",2023,October,"$ 1,148,435.05",13.07%,"$ 150,124.32"
"$ 1,286,701.93",2023,November,"$ 1,298,559.37",-0.91%,"$ -11,857.44"
"$ 1,551,957.12",2023,December,"$ 1,286,701.93",20.62%,"$ 265,255.19"
"$ 1,357,953.77",2024,January,"$ 1,551,957.12",-12.5%,"$ -194,003.35"
"$ 1,218,025.07",2024,Febuary,"$ 1,357,953.77",-10.3%,"$ -139,928.70"
"$ 1,310,956.12",2024,March,"$ 1,218,025.07",7.63%,"$ 92,931.05"
"$ 1,224,996.74",2024,April,"$ 1,310,956.12",-6.56%,"$ -85,959.38"
"$ 1,323,956.19",2024,May,"$ 1,224,996.74",8.08%,"$ 98,959.45"
"$ 1,247,020.43",2024,June,"$ 1,323,956.19",-5.81%,"$ -76,935.76"
"$ 1,295,378.23",2024,July,"$ 1,247,020.43",3.88%,"$ 48,357.80"
"$ 1,357,357.10",2024,August,"$ 1,295,378.23",4.78%,"$ 61,978.87"
"$ 1,294,291.90",2024,September,"$ 1,357,357.10",-4.65%,"$ -63,065.20"
"$ 1,310,814.44",2024,October,"$ 1,294,291.90",1.28%,"$ 16,522.54"
"$ 1,307,441.81",2024,November,"$ 1,310,814.44",-0.26%,"$ -3,372.63"
"$ 1,596,422.77",2024,December,"$ 1,307,441.81",22.1%,"$ 288,980.96"
"$ 671,793.03",2019,January,,,
"$ 621,467.64",2019,Febuary,"$ 671,793.03",-7.49%,"$ -50,325.39"
"$ 697,585.42",2019,March,"$ 621,467.64",12.25%,"$ 76,117.78"
"$ 744,498.53",2019,April,"$ 697,585.42",6.73%,"$ 46,913.11"
"$ 686,164.95",2019,May,"$ 744,498.53",-7.84%,"$ -58,333.58"
"$ 689,278.89",2019,June,"$ 686,164.95",0.45%,"$ 3,113.94"
"$ 699,381.03",2019,July,"$ 689,278.89",1.47%,"$ 10,102.14"
"$ 732,729.93",2019,August,"$ 699,381.03",4.77%,"$ 33,348.90"
"$ 644,166.21",2019,September,"$ 732,729.93",-12.09%,"$ -88,563.72"
"$ 667,613.98",2019,October,"$ 644,166.21",3.64%,"$ 23,447.77"
"$ 699,199.59",2019,November,"$ 667,613.98",4.73%,"$ 31,585.61"
"$ 943,566.98",2019,December,"$ 699,199.59",34.95%,"$ 244,367.39"
"$ 863,765.94",2020,January,"$ 943,566.98",-8.46%,"$ -79,801.04"
"$ 740,763.65",2020,Febuary,"$ 863,765.94",-14.24%,"$ -123,002.29"
"$ 844,897.89",2020,March,"$ 740,763.65",14.06%,"$ 104,134.24"
"$ 791,772.59",2020,April,"$ 844,897.89",-6.29%,"$ -53,125.30"
"$ 803,879.46",2020,May,"$ 791,772.59",1.53%,"$ 12,106.87"
"$ 803,259.68",2020,June,"$ 803,879.46",-0.08%,$ -619.78
"$ 833,644.71",2020,July,"$ 803,259.68",3.78%,"$ 30,385.03"
"$ 864,370.56",2020,August,"$ 833,644.71",3.69%,"$ 30,725.85"
"$ 779,662.90",2020,September,"$ 864,370.56",-9.8%,"$ -84,707.66"
"$ 826,109.96",2020,October,"$ 779,662.90",5.96%,"$ 46,447.06"
"$ 807,105.13",2020,November,"$ 826,109.96",-2.3%,"$ -19,004.83"
"$ 969,143.69",2020,December,"$ 807,105.13",20.08%,"$ 162,038.56"
"$ 733,501.30",2021,January,"$ 969,143.69",-24.31%,"$ -235,642.39"
"$ 632,751.19",2021,Febuary,"$ 733,501.30",-13.74%,"$ -100,750.11"
"$ 710,845.05",2021,March,"$ 632,751.19",12.34%,"$ 78,093.86"
"$ 699,267.85",2021,April,"$ 710,845.05",-1.63%,"$ -11,577.20"
"$ 768,498.29",2021,May,"$ 699,267.85",9.9%,"$ 69,230.44"
"$ 721,437.78",2021,June,"$ 768,498.29",-6.12%,"$ -47,060.51"
"$ 711,030.94",2021,July,"$ 721,437.78",-1.44%,"$ -10,406.84"
"$ 664,895.21",2021,August,"$ 711,030.94",-6.49%,"$ -46,135.73"
"$ 656,379.56",2021,September,"$ 664,895.21",-1.28%,"$ -8,515.65"
"$ 696,344.80",2021,October,"$ 656,379.56",6.09%,"$ 39,965.24"
"$ 678,291.76",2021,November,"$ 696,344.80",-2.59%,"$ -18,053.04"
"$ 878,483.31",2021,December,"$ 678,291.76",29.51%,"$ 200,191.55"
"$ 751,906.17",2022,January,"$ 878,483.31",-14.41%,"$ -126,577.14"
"$ 641,452.33",2022,Febuary,"$ 751,906.17",-14.69%,"$ -110,453.84"
"$ 795,644.91",2022,March,"$ 641,452.33",24.04%,"$ 154,192.58"
"$ 678,069.03",2022,April,"$ 795,644.91",-14.78%,"$ -117,575.88"
"$ 725,156.63",2022,May,"$ 678,069.03",6.94%,"$ 47,087.60"
"$ 687,310.42",2022,June,"$ 725,156.63",-5.22%,"$ -37,846.21"
"$ 744,366.00",2022,July,"$ 687,310.42",8.3%,"$ 57,055.58"
"$ 745,683.88",2022,August,"$ 744,366.00",0.18%,"$ 1,317.88"
"$ 693,523.01",2022,September,"$ 745,683.88",-7%,"$ -52,160.87"
"$ 684,193.12",2022,October,"$ 693,523.01",-1.35%,"$ -9,329.89"
"$ 712,136.68",2022,November,"$ 684,193.12",4.08%,"$ 27,943.56"
"$ 828,369.31",2022,December,"$ 712,136.68",16.32%,"$ 116,232.63"
"$ 668,978.78",2023,January,"$ 828,369.31",-19.24%,"$ -159,390.53"
"$ 611,030.83",2023,Febuary,"$ 668,978.78",-8.66%,"$ -57,947.95"
"$ 671,309.23",2023,March,"$ 611,030.83",9.87%,"$ 60,278.40"
"$ 742,566.32",2023,April,"$ 671,309.23",10.61%,"$ 71,257.09"
"$ 706,174.59",2023,May,"$ 742,566.32",-4.9%,"$ -36,391.73"
"$ 659,168.24",2023,June,"$ 706,174.59",-6.66%,"$ -47,006.35"
"$ 719,266.82",2023,July,"$ 659,168.24",9.12%,"$ 60,098.58"
"$ 700,486.61",2023,August,"$ 719,266.82",-2.61%,"$ -18,780.21"
"$ 668,167.45",2023,September,"$ 700,486.61",-4.61%,"$ -32,319.16"
"$ 712,412.56",2023,October,"$ 668,167.45",6.62%,"$ 44,245.11"
"$ 649,253.89",2023,November,"$ 712,412.56",-8.87%,"$ -63,158.67"
"$ 877,003.51",2023,December,"$ 649,253.89",35.08%,"$ 227,749.62"
"$ 685,973.71",2024,January,"$ 877,003.51",-21.78%,"$ -191,029.80"
"$ 674,537.68",2024,Febuary,"$ 685,973.71",-1.67%,"$ -11,436.03"
"$ 728,609.43",2024,March,"$ 674,537.68",8.02%,"$ 54,071.75"
"$ 709,287.31",2024,April,"$ 728,609.43",-2.65%,"$ -19,322.12"
"$ 726,570.18",2024,May,"$ 709,287.31",2.44%,"$ 17,282.87"
"$ 714,222.44",2024,June,"$ 726,570.18",-1.7%,"$ -12,347.74"
"$ 699,340.42",2024,July,"$ 714,222.44",-2.08%,"$ -14,882.02"
"$ 708,312.73",2024,August,"$ 699,340.42",1.28%,"$ 8,972.31"
"$ 680,510.49",2024,September,"$ 708,312.73",-3.93%,"$ -27,802.24"
"$ 727,301.70",2024,October,"$ 680,510.49",6.88%,"$ 46,791.21"
"$ 718,498.15",2024,November,"$ 727,301.70",-1.21%,"$ -8,803.55"
"$ 879,380.86",2024,December,"$ 718,498.15",22.39%,"$ 160,882.71"
"$ 718,721.49",2019,January,,,
"$ 607,986.49",2019,Febuary,"$ 718,721.49",-15.41%,"$ -110,735.00"
"$ 684,632.99",2019,March,"$ 607,986.49",12.61%,"$ 76,646.50"
"$ 663,605.98",2019,April,"$ 684,632.99",-3.07%,"$ -21,027.01"
"$ 730,137.18",2019,May,"$ 663,605.98",10.03%,"$ 66,531.20"
"$ 665,923.88",2019,June,"$ 730,137.18",-8.79%,"$ -64,213.30"
"$ 672,368.16",2019,July,"$ 665,923.88",0.97%,"$ 6,444.28"
"$ 674,105.34",2019,August,"$ 672,368.16",0.26%,"$ 1,737.18"
"$ 668,021.31",2019,September,"$ 674,105.34",-0.9%,"$ -6,084.03"
"$ 713,689.40",2019,October,"$ 668,021.31",6.84%,"$ 45,668.09"
"$ 696,637.82",2019,November,"$ 713,689.40",-2.39%,"$ -17,051.58"
"$ 995,405.31",2019,December,"$ 696,637.82",42.89%,"$ 298,767.49"
"$ 876,486.95",2020,January,"$ 995,405.31",-11.95%,"$ -118,918.36"
"$ 774,684.47",2020,Febuary,"$ 876,486.95",-11.61%,"$ -101,802.48"
"$ 829,104.59",2020,March,"$ 774,684.47",7.02%,"$ 54,420.12"
"$ 786,214.91",2020,April,"$ 829,104.59",-5.17%,"$ -42,889.68"
"$ 852,172.12",2020,May,"$ 786,214.91",8.39%,"$ 65,957.21"
"$ 808,642.33",2020,June,"$ 852,172.12",-5.11%,"$ -43,529.79"
"$ 857,445.22",2020,July,"$ 808,642.33",6.04%,"$ 48,802.89"
"$ 861,750.14",2020,August,"$ 857,445.22",0.5%,"$ 4,304.92"
"$ 843,803.84",2020,September,"$ 861,750.14",-2.08%,"$ -17,946.30"
"$ 800,935.58",2020,October,"$ 843,803.84",-5.08%,"$ -42,868.26"
"$ 850,957.59",2020,November,"$ 800,935.58",6.25%,"$ 50,022.01"
"$ 918,781.29",2020,December,"$ 850,957.59",7.97%,"$ 67,823.70"
"$ 740,646.08",2021,January,"$ 918,781.29",-19.39%,"$ -178,135.21"
"$ 660,459.05",2021,Febuary,"$ 740,646.08",-10.83%,"$ -80,187.03"
"$ 694,465.97",2021,March,"$ 660,459.05",5.15%,"$ 34,006.92"
"$ 672,133.75",2021,April,"$ 694,465.97",-3.22%,"$ -22,332.22"
"$ 651,399.21",2021,May,"$ 672,133.75",-3.08%,"$ -20,734.54"
"$ 687,363.33",2021,June,"$ 651,399.21",5.52%,"$ 35,964.12"
"$ 745,515.49",2021,July,"$ 687,363.33",8.46%,"$ 58,152.16"
"$ 680,367.32",2021,August,"$ 745,515.49",-8.74%,"$ -65,148.17"
"$ 720,926.04",2021,September,"$ 680,367.32",5.96%,"$ 40,558.72"
"$ 671,514.03",2021,October,"$ 720,926.04",-6.85%,"$ -49,412.01"
"$ 708,233.81",2021,November,"$ 671,514.03",5.47%,"$ 36,719.78"
"$ 858,681.53",2021,December,"$ 708,233.81",21.24%,"$ 150,447.72"
"$ 732,483.97",2022,January,"$ 858,681.53",-14.7%,"$ -126,197.56"
"$ 672,678.39",2022,Febuary,"$ 732,483.97",-8.16%,"$ -59,805.58"
"$ 732,654.47",2022,March,"$ 672,678.39",8.92%,"$ 59,976.08"
"$ 682,051.83",2022,April,"$ 732,654.47",-6.91%,"$ -50,602.64"
"$ 718,484.48",2022,May,"$ 682,051.83",5.34%,"$ 36,432.65"
"$ 737,195.30",2022,June,"$ 718,484.48",2.6%,"$ 18,710.82"
"$ 762,944.71",2022,July,"$ 737,195.30",3.49%,"$ 25,749.41"
"$ 744,833.96",2022,August,"$ 762,944.71",-2.37%,"$ -18,110.75"
"$ 708,744.77",2022,September,"$ 744,833.96",-4.85%,"$ -36,089.19"
"$ 764,329.59",2022,October,"$ 708,744.77",7.84%,"$ 55,584.82"
"$ 752,791.81",2022,November,"$ 764,329.59",-1.51%,"$ -11,537.78"
"$ 813,621.78",2022,December,"$ 752,791.81",8.08%,"$ 60,829.97"
"$ 679,299.93",2023,January,"$ 813,621.78",-16.51%,"$ -134,321.85"
"$ 634,301.62",2023,Febuary,"$ 679,299.93",-6.62%,"$ -44,998.31"
"$ 687,532.85",2023,March,"$ 634,301.62",8.39%,"$ 53,231.23"
"$ 707,760.86",2023,April,"$ 687,532.85",2.94%,"$ 20,228.01"
"$ 710,076.51",2023,May,"$ 707,760.86",0.33%,"$ 2,315.65"
"$ 659,408.50",2023,June,"$ 710,076.51",-7.14%,"$ -50,668.01"
"$ 756,075.13",2023,July,"$ 659,408.50",14.66%,"$ 96,666.63"
"$ 684,386.46",2023,August,"$ 756,075.13",-9.48%,"$ -71,688.67"
"$ 683,402.41",2023,September,"$ 684,386.46",-0.14%,$ -984.05
"$ 679,125.29",2023,October,"$ 683,402.41",-0.63%,"$ -4,277.12"
"$ 682,908.50",2023,November,"$ 679,125.29",0.56%,"$ 3,783.21"
"$ 844,722.16",2023,December,"$ 682,908.50",23.69%,"$ 161,813.66"
"$ 700,928.31",2024,January,"$ 844,722.16",-17.02%,"$ -143,793.85"
"$ 654,724.23",2024,Febuary,"$ 700,928.31",-6.59%,"$ -46,204.08"
"$ 719,293.53",2024,March,"$ 654,724.23",9.86%,"$ 64,569.30"
"$ 645,955.76",2024,April,"$ 719,293.53",-10.2%,"$ -73,337.77"
"$ 723,368.75",2024,May,"$ 645,955.76",11.98%,"$ 77,412.99"
"$ 704,239.07",2024,June,"$ 723,368.75",-2.64%,"$ -19,129.68"
"$ 695,811.36",2024,July,"$ 704,239.07",-1.2%,"$ -8,427.71"
"$ 702,459.78",2024,August,"$ 695,811.36",0.96%,"$ 6,648.42"
"$ 712,166.40",2024,September,"$ 702,459.78",1.38%,"$ 9,706.62"
"$ 699,852.72",2024,October,"$ 712,166.40",-1.73%,"$ -12,313.68"
"$ 725,186.44",2024,November,"$ 699,852.72",3.62%,"$ 25,333.72"
"$ 861,380.45",2024,December,"$ 725,186.44",18.78%,"$ 136,194.01"
"$ 658,924.48",2019,January,,,
"$ 627,934.03",2019,Febuary,"$ 658,924.48",-4.7%,"$ -30,990.45"
"$ 739,987.18",2019,March,"$ 627,934.03",17.84%,"$ 112,053.15"
"$ 642,055.95",2019,April,"$ 739,987.18",-13.23%,"$ -97,931.23"
